text
"То есть я,"
то есть я
то есть это
То есть не
То вдруг начинала
то бросал все
"Тесноты, конечно, избежать"
Терпеть не могу
Терпеть не могу
"Теперь, матушка, церковь"
"Теперь я вам,"
Теперь я без
Теперь я Станционного
"теперь хоть женись,"
Теперь у вас
"Теперь сейчас обедать,"
Теперь самый пошлейший
"Теперь пуговки, дружок"
Теперь поймите: mademoiselle
